dataset,model,metric,seed_mean,seed_std,ensemble,ci_low,ci_high
kermany_grouped,densenet121,accuracy,0.9752136752136752,0.003725554652598853,0.9803418803418803,0.9719961374061958,0.9880766407875511
kermany_grouped,densenet121,balanced_accuracy,0.9712978947159553,0.004964175500707364,0.9764829751770938,0.9655506317141125,0.9865269583007664
kermany_grouped,densenet121,precision,0.9862924968453354,0.0037158731261100982,0.9882766705744431,0.9805340929321702,0.9947452266276181
kermany_grouped,densenet121,recall,0.9797507788161993,0.004721322294774979,0.9848130841121495,0.9761001633214424,0.9922396827033809
kermany_grouped,densenet121,specificity,0.9628450106157113,0.01023742119001375,0.9681528662420382,0.9473684210526315,0.985120701058201
kermany_grouped,densenet121,f1,0.9830029937599516,0.002571502193188861,0.9865418373317729,0.9804449998725231,0.9919507843018772
kermany_grouped,densenet121,roc_auc,0.9929460086909935,0.0003358320166794885,0.994523483540687,0.990563042098681,0.9977810796936677
kermany_grouped,densenet121,auprc,0.9970192840308935,0.0003968905929726465,0.997889827071855,0.9961606131296242,0.9992355159240407
kermany_grouped,densenet121,brier_score,0.019804691182311658,0.0024420504007133647,0.017545187700722945,0.01178504858674427,0.023466371723218738
kermany_grouped,convnext_tiny,accuracy,0.9763532763532763,0.0013055771210700353,0.9777777777777777,0.9691330711242215,0.9861594686173824
kermany_grouped,convnext_tiny,balanced_accuracy,0.97039630335139,0.005698523581272253,0.9727141496517651,0.9604962136804177,0.9837532156071043
kermany_grouped,convnext_tiny,precision,0.9844482873201136,0.005810617375389426,0.9859484777517564,0.9773494441607641,0.9935554897359893
kermany_grouped,convnext_tiny,recall,0.9832554517133957,0.005267815131802428,0.9836448598130841,0.9740558380298947,0.9918138185977167
kermany_grouped,convnext_tiny,specificity,0.9575371549893843,0.01634267974346141,0.9617834394904459,0.9394856128283918,0.9817114619409033
kermany_grouped,convnext_tiny,f1,0.9838311398595784,0.000858557994696711,0.9847953216374269,0.9785785136763262,0.9906134382325337
kermany_grouped,convnext_tiny,roc_auc,0.9963589102525944,0.001038750263450549,0.9967483183522828,0.9944686107601727,0.9985840325601681
kermany_grouped,convnext_tiny,auprc,0.9986302442097766,0.000410757679794849,0.9987781485250204,0.9978322941007759,0.9995046274907713
kermany_grouped,convnext_tiny,brier_score,0.01893729430826863,0.0013797389694818465,0.017280218744681247,0.011319353037480218,0.023773485036219847
kermany_grouped,vit_b16,accuracy,0.9780626780626781,0.006415002990995883,0.982051282051282,0.9740929393314504,0.9892954005646046
kermany_grouped,vit_b16,balanced_accuracy,0.9769418318550708,0.005281365422924986,0.9816841776296208,0.9723471095848827,0.9897842606452156
kermany_grouped,vit_b16,precision,0.9905429915482165,0.0012291838563688433,0.9929161747343566,0.9863688461077237,0.9977529349523858
kermany_grouped,vit_b16,recall,0.9793613707165109,0.007778420699158148,0.9824766355140186,0.9731377948375612,0.9908479835885902
kermany_grouped,vit_b16,specificity,0.9745222929936306,0.0031847133757961776,0.9808917197452229,0.964050079491256,0.9937699541417542
kermany_grouped,vit_b16,f1,0.9849125863430536,0.004451448553790491,0.9876688197298884,0.981944908619504,0.9926829611430611
kermany_grouped,vit_b16,roc_auc,0.9964692838859456,0.0004895904250805513,0.9968450503006132,0.9946560541998676,0.9986655280617195
kermany_grouped,vit_b16,auprc,0.9987182236530475,0.00018301417419375898,0.9988487658844711,0.9979295258114613,0.9995320370704834
kermany_grouped,vit_b16,brier_score,0.0185971734983639,0.004057986496745897,0.01656255662176458,0.010894261338057242,0.022669130733661398
rsna,densenet121,accuracy,0.6613876319758673,0.012460566849063536,0.667420814479638,0.6221719457013575,0.7126696832579186
rsna,densenet121,balanced_accuracy,0.6530034491001605,0.01296981399306994,0.6591230406720623,0.624561081470255,0.6940795134881594
rsna,densenet121,precision,0.6077625679490816,0.010008769835855115,0.611731843575419,0.5606924730847732,0.6619328185019207
rsna,densenet121,recall,0.961820851688693,0.009170334799410285,0.9647577092511013,0.9391237896335676,0.9866681415929204
rsna,densenet121,specificity,0.34418604651162793,0.03255813953488371,0.35348837209302325,0.29089893346876583,0.4174914211583528
rsna,densenet121,f1,0.7447896743981176,0.005983428559453373,0.7487179487179487,0.7081713022790381,0.7865329866383236
rsna,densenet121,roc_auc,0.8078065771949595,0.015064545345512496,0.8151623809035959,0.7727992909000639,0.8541264645577566
rsna,densenet121,auprc,0.7949188451085373,0.023366095816416584,0.8036194820296239,0.7442010040144965,0.85961916528599
rsna,densenet121,brier_score,0.29703520625030955,0.004791418185142748,0.29194965972578474,0.2548531723358905,0.3309946011862193
rsna,convnext_tiny,accuracy,0.6840120663650076,0.0026124446569666233,0.6764705882352942,0.6312217194570136,0.7194570135746605
rsna,convnext_tiny,balanced_accuracy,0.6776525629204658,0.0021538892675169773,0.6695318102653416,0.6312192175448379,0.705281382859666
rsna,convnext_tiny,precision,0.6336945265338082,0.0013808973641281732,0.625,0.5714285714285714,0.6764749911940825
rsna,convnext_tiny,recall,0.9118942731277533,0.019202197989165948,0.9251101321585903,0.8879215136407701,0.9572649572649574
rsna,convnext_tiny,specificity,0.4434108527131783,0.014951396528671255,0.413953488372093,0.3444860848953075,0.4784487914535555
rsna,convnext_tiny,f1,0.7476916394260253,0.0055667582268780135,0.7460035523978685,0.7034990791896869,0.784856931382282
rsna,convnext_tiny,roc_auc,0.801475258682512,0.01447008365186285,0.8039545128572891,0.7611790388770946,0.8431080705997516
rsna,convnext_tiny,auprc,0.8016610379636688,0.020118230572552607,0.8042785175165361,0.7515628127396937,0.8526895147761515
rsna,convnext_tiny,brier_score,0.2648093006328367,0.010759332500165713,0.25967884021146387,0.22396539538045204,0.2973541073790025
rsna,vit_b16,accuracy,0.6598793363499246,0.02197406076068399,0.667420814479638,0.6221719457013575,0.7081447963800905
rsna,vit_b16,balanced_accuracy,0.6517808967660418,0.022435464046896125,0.6593689171191477,0.6247277954996875,0.6934988154861887
rsna,vit_b16,precision,0.6083305515848338,0.016147519797638305,0.6129943502824858,0.5617977528089888,0.6609698681732579
rsna,vit_b16,recall,0.9500734214390602,0.01667814492158671,0.9559471365638766,0.9264689966895849,0.9810448895645175
rsna,vit_b16,specificity,0.35348837209302325,0.04262861111586829,0.3627906976744186,0.29533432025660006,0.4252336448598131
rsna,vit_b16,f1,0.7416335110510925,0.013838181823764083,0.7469879518072289,0.7063138839502183,0.7838721834981358
rsna,vit_b16,roc_auc,0.817102072875047,0.00970114635391722,0.8236451183280401,0.7840409357269236,0.8602489883675816
rsna,vit_b16,auprc,0.8202409822990089,0.011577809580505593,0.8299617257604596,0.7816913305763661,0.872949806020963
rsna,vit_b16,brier_score,0.2923992090319268,0.022971775587628827,0.2832613064935592,0.24713723170026247,0.32232250004368485
